 [2017-01-16 18:03:57,028] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'] 
 [2017-01-16 18:03:57,030] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:460)] [Finished creating instance of bean 'contractServiceImpl'] 
 [2017-01-16 18:03:57,031] [DEBUG] [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:215)] [Creating shared instance of singleton bean 'extCproductServiceImpl'] 
 [2017-01-16 18:03:57,031] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:432)] [Creating instance of bean 'extCproductServiceImpl'] 
 [2017-01-16 18:03:57,031] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'] 
 [2017-01-16 18:03:57,032] [DEBUG] [org.springframework.beans.factory.annotation.InjectionMetadata.checkConfigMembers(InjectionMetadata.java:71)] [Registered injected element on class [jk.service.impl.ExtCproductServiceImpl]: ResourceElement for jk.dao.ExtCproductDao jk.service.impl.ExtCproductServiceImpl.extCproductDao] 
 [2017-01-16 18:03:57,032] [DEBUG] [org.springframework.beans.factory.annotation.InjectionMetadata.checkConfigMembers(InjectionMetadata.java:71)] [Registered injected element on class [jk.service.impl.ExtCproductServiceImpl]: ResourceElement for jk.dao.SysCodeDao jk.service.impl.ExtCproductServiceImpl.sysCodeDao] 
 [2017-01-16 18:03:57,033] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:506)] [Eagerly caching bean 'extCproductServiceImpl' to allow for resolving potential circular references] 
 [2017-01-16 18:03:57,036] [DEBUG] [org.springframework.beans.factory.annotation.InjectionMetadata.inject(InjectionMetadata.java:85)] [Processing injected method of bean 'extCproductServiceImpl': ResourceElement for jk.dao.ExtCproductDao jk.service.impl.ExtCproductServiceImpl.extCproductDao] 
 [2017-01-16 18:03:57,036] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'extCproductDao'] 
